"","state","zip","agi"
"609","AZ",85045,109296
"610","AZ",85048,89496
"611","AZ",85050,86914
"612","AZ",85051,34954
"613","AZ",85053,44375
"614","AZ",85054,86370
"615","AZ",85083,94189
"616","AZ",85085,84756
"617","AZ",85086,82163
"618","AZ",85087,74736
"619","AZ",85118,74877
"620","AZ",85119,50234
"621","AZ",85120,38460
"622","AZ",85122,45972
"623","AZ",85128,39213
"624","AZ",85131,38141
"625","AZ",85132,50163
"626","AZ",85137,49228
"627","AZ",85138,57109
"628","AZ",85139,49764
"629","AZ",85140,56948
"630","AZ",85142,71313
"631","AZ",85143,50964
"632","AZ",85145,55063
"633","AZ",85172,37500
"634","AZ",85173,41709
"635","AZ",85192,46093
"636","AZ",85193,37090
"637","AZ",85194,60054
"638","AZ",85201,36137
"639","AZ",85202,44451
"640","AZ",85203,49485
"641","AZ",85204,38990
"642","AZ",85205,54735
"643","AZ",85206,50755
"644","AZ",85207,72177
"645","AZ",85208,44350
"646","AZ",85209,59324
"647","AZ",85210,37845
"648","AZ",85212,71021
"649","AZ",85213,66843
"650","AZ",85215,70217
"651","AZ",85224,59459
"652","AZ",85225,50837
"653","AZ",85226,72449
"654","AZ",85233,69268
"655","AZ",85234,72226
"656","AZ",85248,87125
"657","AZ",85249,96774
"658","AZ",85250,70856
"659","AZ",85251,64748
"660","AZ",85253,134375
"661","AZ",85254,89998
"662","AZ",85255,121513
"663","AZ",85256,39285
"664","AZ",85257,52951
"665","AZ",85258,95979
"666","AZ",85259,105927
"667","AZ",85260,85681
"668","AZ",85262,131322
"669","AZ",85263,117638
"670","AZ",85264,60820
"671","AZ",85266,123573
"672","AZ",85268,85011
"673","AZ",85281,37785
"674","AZ",85282,49164
"675","AZ",85283,53428
"676","AZ",85284,102365
"677","AZ",85286,87310
"678","AZ",85295,76774
"679","AZ",85296,74795
"680","AZ",85297,83346
"681","AZ",85298,95540
"682","AZ",85301,27998
"683","AZ",85302,41251
"684","AZ",85303,38209
"685","AZ",85304,53803
"686","AZ",85305,54564
"687","AZ",85306,48951
"688","AZ",85307,44616
"689","AZ",85308,65251
"690","AZ",85309,12500
"691","AZ",85310,78027
"692","AZ",85321,39615
"693","AZ",85322,42708
"694","AZ",85323,39470
"695","AZ",85324,41071
"696","AZ",85326,47249
"697","AZ",85331,97450
"698","AZ",85333,28750
"699","AZ",85335,37761
"700","AZ",85337,35204
"701","AZ",85338,60613
"702","AZ",85339,51523
"703","AZ",85340,74697
"704","AZ",85342,51201
"705","AZ",85344,39630
"706","AZ",85345,43548
"707","AZ",85347,34375
"708","AZ",85348,38319
"709","AZ",85350,31640
"710","AZ",85351,45673
"711","AZ",85353,40314
"712","AZ",85354,43532
"713","AZ",85355,73267
"714","AZ",85356,45060
"715","AZ",85361,50254
"716","AZ",85363,36527
"717","AZ",85364,41807
"718","AZ",85365,54075
"719","AZ",85367,54884
"720","AZ",85373,56930
"721","AZ",85374,57410
"722","AZ",85375,64936
"723","AZ",85379,59911
"724","AZ",85381,62664
"725","AZ",85382,64673
"726","AZ",85383,93832
"727","AZ",85387,69662
"728","AZ",85388,61117
"729","AZ",85390,52075
"730","AZ",85392,53624
"731","AZ",85395,84318
"732","AZ",85396,76743
"733","AZ",85501,48356
"734","AZ",85533,55102
"735","AZ",85534,52906
"736","AZ",85539,43685
"737","AZ",85540,74208
"738","AZ",85541,50596
"739","AZ",85542,27016
"740","AZ",85543,53300
"741","AZ",85544,57743
"742","AZ",85545,37500
"743","AZ",85546,51457
"744","AZ",85552,59375
"745","AZ",85602,48743
"746","AZ",85603,43398
"747","AZ",85606,43359
"748","AZ",85607,31319
"749","AZ",85610,42682
"750","AZ",85611,55303
"751","AZ",85613,42281
"752","AZ",85614,62475
"753","AZ",85615,63399
"754","AZ",85616,44927
"755","AZ",85617,45000
"756","AZ",85618,40301
"757","AZ",85621,31158
"758","AZ",85622,71400
"759","AZ",85623,62960
"760","AZ",85624,48798
"761","AZ",85625,42636
"762","AZ",85629,65132
"763","AZ",85630,51988
"764","AZ",85631,41735
"765","AZ",85632,42708
"766","AZ",85634,36050
"767","AZ",85635,53287
"768","AZ",85637,78571
"769","AZ",85638,37797
"770","AZ",85640,55172
"771","AZ",85641,79302
"772","AZ",85643,42120
"773","AZ",85645,39743
"774","AZ",85648,42660
"775","AZ",85650,74764
"776","AZ",85653,52158
"777","AZ",85658,85769
"778","AZ",85701,44696
"779","AZ",85704,63354
"780","AZ",85705,28420
"781","AZ",85706,27688
"782","AZ",85708,46093
"783","AZ",85710,43399
"784","AZ",85711,40671
"785","AZ",85712,42107
"786","AZ",85713,30839
"787","AZ",85714,26904
"788","AZ",85715,65204
"789","AZ",85716,45297
"790","AZ",85718,100782
"791","AZ",85719,39662
"792","AZ",85730,43314
"793","AZ",85735,44852
"794","AZ",85736,39553
"795","AZ",85737,84993
"796","AZ",85739,75245
"797","AZ",85741,49848
"798","AZ",85742,63002
"799","AZ",85743,67034
"800","AZ",85745,56376
"801","AZ",85746,37632
"802","AZ",85747,70070
"803","AZ",85748,67689
"804","AZ",85749,89776
"805","AZ",85750,97108
"806","AZ",85755,94971
"807","AZ",85756,40637
"808","AZ",85757,43003
"809","AZ",85901,49090
"810","AZ",85920,57065
"811","AZ",85924,42361
"812","AZ",85925,53231
"813","AZ",85928,48177
"814","AZ",85929,48551
"815","AZ",85935,60638
"816","AZ",85936,49626
"817","AZ",85937,49593
"818","AZ",85938,49069
"819","AZ",86001,53150
"820","AZ",86004,56290
"821","AZ",86005,64390
"822","AZ",86022,34417
"823","AZ",86024,65000
"824","AZ",86025,41666
"825","AZ",86030,28289
"826","AZ",86034,32661
"827","AZ",86036,29166
"828","AZ",86039,32589
"829","AZ",86042,33928
"830","AZ",86043,26724
"831","AZ",86044,35217
"832","AZ",86045,38660
"833","AZ",86046,47050
"834","AZ",86047,40859
"835","AZ",86301,57719
"836","AZ",86303,62288
"837","AZ",86305,71745
"838","AZ",86314,41661
"839","AZ",86315,64686
"840","AZ",86321,75000
"841","AZ",86322,43115
"842","AZ",86323,46174
"843","AZ",86324,50065
"844","AZ",86325,54114
"845","AZ",86326,43525
"846","AZ",86327,51708
"847","AZ",86332,41228
"848","AZ",86333,38825
"849","AZ",86334,40234
"850","AZ",86335,38700
"851","AZ",86336,67270
"852","AZ",86351,74609
"853","AZ",86401,50618
"854","AZ",86403,42097
"855","AZ",86404,50594
"856","AZ",86406,53532
"857","AZ",86409,39801
"858","AZ",86413,33992
"859","AZ",86426,44340
"860","AZ",86429,47166
"861","AZ",86434,37298
"862","AZ",86436,37890
"863","AZ",86440,40120
"864","AZ",86441,30500
"865","AZ",86442,34917
"866","AZ",86444,39144
"867","AZ",86445,33333
"868","AZ",86514,34672
"869","AR",71601,28752
"870","AR",71602,48927
"871","AR",71603,44432
"872","AR",71631,32291
"873","AR",71635,46927
"874","AR",71638,34891
"875","AR",71639,38575
"876","AR",71640,30940
"877","AR",71642,40909
"878","AR",71643,34090
"879","AR",71644,39224
"880","AR",71646,48605
"881","AR",71647,42307
"882","AR",71652,40853
"883","AR",71653,47538
"884","AR",71654,46235
"885","AR",71655,47620
"886","AR",71658,29545
"887","AR",71660,48214
"888","AR",71663,49107
"889","AR",71665,53750
"890","AR",71667,46724
"891","AR",71670,44607
"892","AR",71671,40514
"893","AR",71674,40760
"894","AR",71675,46283
"895","AR",71676,26785
"896","AR",71701,45150
"897","AR",71720,42912
"898","AR",71725,31547
"899","AR",71726,36413
"900","AR",71730,52261
"901","AR",71740,49404
"902","AR",71742,38357
"903","AR",71743,37420
"904","AR",71744,48369
"905","AR",71747,39705
"906","AR",71749,51485
"907","AR",71751,48046
"908","AR",71752,40073
"909","AR",71753,49536
"910","AR",71758,54687
"911","AR",71762,53301
"912","AR",71763,45625
"913","AR",71764,40530
"914","AR",71765,40178
"915","AR",71766,38500
"916","AR",71770,41129
"917","AR",71801,38201
"918","AR",71822,48335
"919","AR",71825,38541
"920","AR",71826,39864
"921","AR",71827,36637
"922","AR",71832,39231
"923","AR",71833,44512
"924","AR",71834,46195
"925","AR",71835,43112
"926","AR",71836,44907
"927","AR",71837,45502
"928","AR",71838,32638
"929","AR",71841,41071
"930","AR",71842,44936
"931","AR",71845,37012
"932","AR",71846,44605
"933","AR",71847,45454
"934","AR",71851,34593
"935","AR",71852,41427
"936","AR",71853,40277
"937","AR",71854,46030
"938","AR",71855,28125
"939","AR",71857,40044
"940","AR",71858,40401
"941","AR",71859,33653
"942","AR",71860,41091
"943","AR",71861,53365
"944","AR",71862,32812
"945","AR",71866,46195
"946","AR",71901,46717
"947","AR",71909,64300
"948","AR",71913,48168
"949","AR",71921,40736
"950","AR",71923,47147
"951","AR",71929,46335
"952","AR",71933,40865
"953","AR",71935,33152
"954","AR",71937,37689
"955","AR",71940,42272
"956","AR",71941,46654
"957","AR",71943,39955
"958","AR",71944,38500
"959","AR",71945,38265
"960","AR",71949,40178
"961","AR",71950,34558
"962","AR",71953,42896
"963","AR",71956,35714
"964","AR",71957,42226
"965","AR",71958,42631
"966","AR",71959,39673
"967","AR",71960,32848
"968","AR",71961,35984
"969","AR",71962,44642
"970","AR",71964,45292
"971","AR",71965,35416
"972","AR",71968,50480
"973","AR",71969,32954
"974","AR",71970,36413
"975","AR",71971,32812
"976","AR",71972,44642
"977","AR",71973,35500
"978","AR",72001,33333
"979","AR",72002,56946
"980","AR",72003,54741
"981","AR",72004,31521
"982","AR",72006,35000
"983","AR",72007,58283
"984","AR",72010,46916
"985","AR",72011,50197
"986","AR",72012,50477
"987","AR",72013,50500
"988","AR",72015,51089
"989","AR",72016,52582
"990","AR",72017,38541
"991","AR",72019,68407
"992","AR",72020,40648
"993","AR",72021,36242
"994","AR",72022,60759
"995","AR",72023,60026
"996","AR",72024,51215
"997","AR",72025,46774
"998","AR",72026,42045
"999","AR",72027,49000
"1000","AR",72029,37857
"1001","AR",72030,40384
"1002","AR",72031,44500
"1003","AR",72032,47260
"1004","AR",72034,58458
"1005","AR",72036,25500
"1006","AR",72039,48255
"1007","AR",72040,43325
"1008","AR",72041,44951
"1009","AR",72042,45540
"1010","AR",72044,48529
"1011","AR",72045,51111
"1012","AR",72046,44748
"1013","AR",72047,49085
"1014","AR",72051,35000
"1015","AR",72055,49264
"1016","AR",72057,52840
"1017","AR",72058,59682
"1018","AR",72060,34722
"1019","AR",72061,52777
"1020","AR",72063,50201
"1021","AR",72064,46045
"1022","AR",72065,57683
"1023","AR",72067,47405
"1024","AR",72068,32236
"1025","AR",72069,37755
"1026","AR",72070,46691
"1027","AR",72072,37500
"1028","AR",72073,40885
"1029","AR",72076,41550
"1030","AR",72079,43750
"1031","AR",72080,41666
"1032","AR",72081,42304
"1033","AR",72082,28225
"1034","AR",72084,42559
"1035","AR",72086,48967
"1036","AR",72087,46428
"1037","AR",72088,48046
"1038","AR",72101,43700
"1039","AR",72102,42647
"1040","AR",72103,42737
"1041","AR",72104,44089
"1042","AR",72106,49111
"1043","AR",72110,47676
"1044","AR",72111,48750
"1045","AR",72112,43175
"1046","AR",72113,70439
"1047","AR",72114,26566
"1048","AR",72116,67167
"1049","AR",72117,34219
"1050","AR",72118,40357
"1051","AR",72120,59718
"1052","AR",72121,47164
"1053","AR",72122,69642
"1054","AR",72125,40357
"1055","AR",72126,47688
